category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Component	GO:0071944	89	6015	9606	9606.ENSP00000037502,9606.ENSP00000072644,9606.ENSP00000216211,9606.ENSP00000220062,9606.ENSP00000221978,9606.ENSP00000246957,9606.ENSP00000247153,9606.ENSP00000247986,9606.ENSP00000249887,9606.ENSP00000251372,9606.ENSP00000253799,9606.ENSP00000254661,9606.ENSP00000255082,9606.ENSP00000260227,9606.ENSP00000262648,9606.ENSP00000264036,9606.ENSP00000264664,9606.ENSP00000265748,9606.ENSP00000265769,9606.ENSP00000267101,9606.ENSP00000278407,9606.ENSP00000278568,9606.ENSP00000287585,9606.ENSP00000287842,9606.ENSP00000295962,9606.ENSP00000296280,9606.ENSP00000299106,9606.ENSP00000301599,9606.ENSP00000303942,9606.ENSP00000304422,9606.ENSP00000306449,9606.ENSP00000308361,9606.ENSP00000311648,9606.ENSP00000312326,9606.ENSP00000312999,9606.ENSP00000316861,9606.ENSP00000322568,9606.ENSP00000324173,9606.ENSP00000327760,9606.ENSP00000327786,9606.ENSP00000327801,9606.ENSP00000329127,9606.ENSP00000330393,9606.ENSP00000333938,9606.ENSP00000334785,9606.ENSP00000340019,9606.ENSP00000342197,9606.ENSP00000343158,9606.ENSP00000350928,9606.ENSP00000355580,9606.ENSP00000356607,9606.ENSP00000357726,9606.ENSP00000358698,9606.ENSP00000360609,9606.ENSP00000360764,9606.ENSP00000360806,9606.ENSP00000362071,9606.ENSP00000362643,9606.ENSP00000363092,9606.ENSP00000363117,9606.ENSP00000363480,9606.ENSP00000363708,9606.ENSP00000366694,9606.ENSP00000370542,9606.ENSP00000378310,9606.ENSP00000379183,9606.ENSP00000380081,9606.ENSP00000383053,9606.ENSP00000384126,9606.ENSP00000386378,9606.ENSP00000394496,9606.ENSP00000394720,9606.ENSP00000398017,9606.ENSP00000407822,9606.ENSP00000418754,9606.ENSP00000419465,9606.ENSP00000422464,9606.ENSP00000435648,9606.ENSP00000437554,9606.ENSP00000456609,9606.ENSP00000477515,9606.ENSP00000478026,9606.ENSP00000480916,9606.ENSP00000481244,9606.ENSP00000483403,9606.ENSP00000483469,9606.ENSP00000496184,9606.ENSP00000498071,9606.ENSP00000498662	MYOC,YIPF1,UPK3A,RASL12,NKG7,TRAP1,CFP,KIF17,ACKR4,LILRA1,AOC2,RAMP1,ACY3,MMP7,ANOS1,MCAM,FGF10,ANLN,ADAM28,ERBB3,SERPING1,PAK1,LHFPL4,NRG1,ABHD6,MASP1,JAM3,TMEM88,GP9,KREMEN2,GPR37,P2RY14,UGT8,AOC3,GNAI2,GPM6B,SOX11,HSPA5,CLASP2,IZUMO1,P4HB,PRKCH,LEPR,NEXN,TESC,HSPD1,BTNL8,EPB41L3,GAD1,KCNK1,RALGPS2,S100A12,WNT2B,HSP90AB1,EGFL7,KCNB1,JPH2,PHKA1,PRKG1,FGR,DLG3,BMPR2,KCTD12,SDC1,SLC39A8,PANX2,SLC29A4,EPHB2,LRRC32,CD207,CORO1C,SEMA4B,CLDN9,CNTN6,PTK7,WWTR1,PDGFC,GRIK4,IQSEC3,STRA6,DGKK,ANXA8,SLC9A7,FXYD1,GHR,GPR179,SLC52A2,CARD14,LRRC4B	5.7e-06	0.0117	Cell periphery
Component	GO:0005886	82	5544	9606	9606.ENSP00000072644,9606.ENSP00000216211,9606.ENSP00000220062,9606.ENSP00000221978,9606.ENSP00000247153,9606.ENSP00000247986,9606.ENSP00000249887,9606.ENSP00000251372,9606.ENSP00000253799,9606.ENSP00000254661,9606.ENSP00000255082,9606.ENSP00000262648,9606.ENSP00000264036,9606.ENSP00000264664,9606.ENSP00000265769,9606.ENSP00000267101,9606.ENSP00000278568,9606.ENSP00000287585,9606.ENSP00000287842,9606.ENSP00000295962,9606.ENSP00000296280,9606.ENSP00000299106,9606.ENSP00000301599,9606.ENSP00000303942,9606.ENSP00000304422,9606.ENSP00000306449,9606.ENSP00000308361,9606.ENSP00000311648,9606.ENSP00000312326,9606.ENSP00000312999,9606.ENSP00000316861,9606.ENSP00000322568,9606.ENSP00000324173,9606.ENSP00000327760,9606.ENSP00000327786,9606.ENSP00000327801,9606.ENSP00000329127,9606.ENSP00000330393,9606.ENSP00000333938,9606.ENSP00000334785,9606.ENSP00000340019,9606.ENSP00000342197,9606.ENSP00000343158,9606.ENSP00000350928,9606.ENSP00000355580,9606.ENSP00000356607,9606.ENSP00000357726,9606.ENSP00000360609,9606.ENSP00000360806,9606.ENSP00000362071,9606.ENSP00000362643,9606.ENSP00000363092,9606.ENSP00000363117,9606.ENSP00000363480,9606.ENSP00000363708,9606.ENSP00000366694,9606.ENSP00000370542,9606.ENSP00000378310,9606.ENSP00000379183,9606.ENSP00000380081,9606.ENSP00000383053,9606.ENSP00000384126,9606.ENSP00000386378,9606.ENSP00000394496,9606.ENSP00000394720,9606.ENSP00000398017,9606.ENSP00000407822,9606.ENSP00000418754,9606.ENSP00000419465,9606.ENSP00000422464,9606.ENSP00000435648,9606.ENSP00000437554,9606.ENSP00000456609,9606.ENSP00000477515,9606.ENSP00000478026,9606.ENSP00000480916,9606.ENSP00000481244,9606.ENSP00000483403,9606.ENSP00000483469,9606.ENSP00000496184,9606.ENSP00000498071,9606.ENSP00000498662	YIPF1,UPK3A,RASL12,NKG7,CFP,KIF17,ACKR4,LILRA1,AOC2,RAMP1,ACY3,ANOS1,MCAM,FGF10,ADAM28,ERBB3,PAK1,LHFPL4,NRG1,ABHD6,MASP1,JAM3,TMEM88,GP9,KREMEN2,GPR37,P2RY14,UGT8,AOC3,GNAI2,GPM6B,SOX11,HSPA5,CLASP2,IZUMO1,P4HB,PRKCH,LEPR,NEXN,TESC,HSPD1,BTNL8,EPB41L3,GAD1,KCNK1,RALGPS2,S100A12,HSP90AB1,KCNB1,JPH2,PHKA1,PRKG1,FGR,DLG3,BMPR2,KCTD12,SDC1,SLC39A8,PANX2,SLC29A4,EPHB2,LRRC32,CD207,CORO1C,SEMA4B,CLDN9,CNTN6,PTK7,WWTR1,PDGFC,GRIK4,IQSEC3,STRA6,DGKK,ANXA8,SLC9A7,FXYD1,GHR,GPR179,SLC52A2,CARD14,LRRC4B	1.92e-05	0.0197	Plasma membrane
Component	GO:0009986	23	894	9606	9606.ENSP00000249887,9606.ENSP00000254661,9606.ENSP00000262648,9606.ENSP00000264036,9606.ENSP00000264664,9606.ENSP00000296280,9606.ENSP00000306449,9606.ENSP00000312326,9606.ENSP00000324173,9606.ENSP00000327801,9606.ENSP00000330393,9606.ENSP00000340019,9606.ENSP00000342197,9606.ENSP00000360609,9606.ENSP00000360764,9606.ENSP00000360806,9606.ENSP00000363708,9606.ENSP00000370542,9606.ENSP00000383053,9606.ENSP00000384126,9606.ENSP00000386378,9606.ENSP00000422464,9606.ENSP00000483403	ACKR4,RAMP1,ANOS1,MCAM,FGF10,MASP1,GPR37,AOC3,HSPA5,P4HB,LEPR,HSPD1,BTNL8,HSP90AB1,EGFL7,KCNB1,BMPR2,SDC1,EPHB2,LRRC32,CD207,PDGFC,GHR	3.22e-05	0.0219	Cell surface
Component	GO:0016020	122	9523	9606	9606.ENSP00000037502,9606.ENSP00000072644,9606.ENSP00000216115,9606.ENSP00000216211,9606.ENSP00000219097,9606.ENSP00000219481,9606.ENSP00000220062,9606.ENSP00000221730,9606.ENSP00000221978,9606.ENSP00000246957,9606.ENSP00000247153,9606.ENSP00000247986,9606.ENSP00000249887,9606.ENSP00000251372,9606.ENSP00000253799,9606.ENSP00000254661,9606.ENSP00000255082,9606.ENSP00000258772,9606.ENSP00000262300,9606.ENSP00000262648,9606.ENSP00000264036,9606.ENSP00000264279,9606.ENSP00000264664,9606.ENSP00000265641,9606.ENSP00000265769,9606.ENSP00000267101,9606.ENSP00000278568,9606.ENSP00000281441,9606.ENSP00000287585,9606.ENSP00000287842,9606.ENSP00000295962,9606.ENSP00000296280,9606.ENSP00000297904,9606.ENSP00000299106,9606.ENSP00000299626,9606.ENSP00000301599,9606.ENSP00000303942,9606.ENSP00000304422,9606.ENSP00000306449,9606.ENSP00000306888,9606.ENSP00000308361,9606.ENSP00000310696,9606.ENSP00000311648,9606.ENSP00000312326,9606.ENSP00000312999,9606.ENSP00000316861,9606.ENSP00000320604,9606.ENSP00000322568,9606.ENSP00000324173,9606.ENSP00000325681,9606.ENSP00000327760,9606.ENSP00000327786,9606.ENSP00000327801,9606.ENSP00000329127,9606.ENSP00000330393,9606.ENSP00000330945,9606.ENSP00000333938,9606.ENSP00000334785,9606.ENSP00000340019,9606.ENSP00000342197,9606.ENSP00000343158,9606.ENSP00000344218,9606.ENSP00000344219,9606.ENSP00000346453,9606.ENSP00000350928,9606.ENSP00000355580,9606.ENSP00000355777,9606.ENSP00000356607,9606.ENSP00000357726,9606.ENSP00000360609,9606.ENSP00000360806,9606.ENSP00000362071,9606.ENSP00000362643,9606.ENSP00000363054,9606.ENSP00000363092,9606.ENSP00000363117,9606.ENSP00000363480,9606.ENSP00000363708,9606.ENSP00000366404,9606.ENSP00000366694,9606.ENSP00000368439,9606.ENSP00000370542,9606.ENSP00000376184,9606.ENSP00000378310,9606.ENSP00000379183,9606.ENSP00000380081,9606.ENSP00000383053,9606.ENSP00000384126,9606.ENSP00000386378,9606.ENSP00000394496,9606.ENSP00000394720,9606.ENSP00000395772,9606.ENSP00000398017,9606.ENSP00000404042,9606.ENSP00000407822,9606.ENSP00000414982,9606.ENSP00000418754,9606.ENSP00000419465,9606.ENSP00000422464,9606.ENSP00000426167,9606.ENSP00000435648,9606.ENSP00000436785,9606.ENSP00000437554,9606.ENSP00000440896,9606.ENSP00000442046,9606.ENSP00000456609,9606.ENSP00000458977,9606.ENSP00000464814,9606.ENSP00000477515,9606.ENSP00000477792,9606.ENSP00000478026,9606.ENSP00000480428,9606.ENSP00000480916,9606.ENSP00000481244,9606.ENSP00000483403,9606.ENSP00000483469,9606.ENSP00000492024,9606.ENSP00000494708,9606.ENSP00000495564,9606.ENSP00000496184,9606.ENSP00000498071,9606.ENSP00000498662	MYOC,YIPF1,BIK,UPK3A,ORC6,DECR2,RASL12,EPHX3,NKG7,TRAP1,CFP,KIF17,ACKR4,LILRA1,AOC2,RAMP1,ACY3,DDX56,PKMYT1,ANOS1,MCAM,NOP58,FGF10,CPT1A,ADAM28,ERBB3,PAK1,TMEM45B,LHFPL4,NRG1,ABHD6,MASP1,VEGFD,JAM3,ALG8,TMEM88,GP9,KREMEN2,GPR37,FAM151A,P2RY14,B4GALT2,UGT8,AOC3,GNAI2,GPM6B,FAXDC2,SOX11,HSPA5,CCZ1,CLASP2,IZUMO1,P4HB,PRKCH,LEPR,TMED9,NEXN,TESC,HSPD1,BTNL8,EPB41L3,C1orf162,SUSD4,IPO4,GAD1,KCNK1,ACBD3,RALGPS2,S100A12,HSP90AB1,KCNB1,JPH2,PHKA1,STX12,PRKG1,FGR,DLG3,BMPR2,TRIM27,KCTD12,PCYT1B,SDC1,BDH1,SLC39A8,PANX2,SLC29A4,EPHB2,LRRC32,CD207,CORO1C,SEMA4B,GNL3,CLDN9,TMED4,CNTN6,KLC1,PTK7,WWTR1,PDGFC,OSTC,GRIK4,SLC35F2,IQSEC3,PLD5,TMTC1,STRA6,DPEP2,COASY,DGKK,LRRC41,ANXA8,B4GALT3,SLC9A7,FXYD1,GHR,GPR179,PAX6,HBD,GRHL2,SLC52A2,CARD14,LRRC4B	3.51e-05	0.0219	Membrane
Component	GO:0098590	28	1237	9606	9606.ENSP00000216211,9606.ENSP00000247986,9606.ENSP00000255082,9606.ENSP00000267101,9606.ENSP00000278568,9606.ENSP00000287585,9606.ENSP00000287842,9606.ENSP00000295962,9606.ENSP00000327760,9606.ENSP00000330393,9606.ENSP00000334785,9606.ENSP00000340019,9606.ENSP00000355580,9606.ENSP00000360609,9606.ENSP00000360806,9606.ENSP00000363117,9606.ENSP00000363480,9606.ENSP00000363708,9606.ENSP00000366694,9606.ENSP00000378310,9606.ENSP00000380081,9606.ENSP00000383053,9606.ENSP00000394496,9606.ENSP00000407822,9606.ENSP00000435648,9606.ENSP00000437554,9606.ENSP00000481244,9606.ENSP00000498662	UPK3A,KIF17,ACY3,ERBB3,PAK1,LHFPL4,NRG1,ABHD6,CLASP2,LEPR,TESC,HSPD1,KCNK1,HSP90AB1,KCNB1,FGR,DLG3,BMPR2,KCTD12,SLC39A8,SLC29A4,EPHB2,CORO1C,CNTN6,GRIK4,IQSEC3,FXYD1,LRRC4B	4.04e-05	0.0219	Plasma membrane region
